,Pokemon No.,Name,Type 1,Type 2,Max CP,Max HP,Image URL,path
0,1,Bulbasaur,Grass,Poison,1079,83,http://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,pokeimg/Bulbasaur.png
1,2,Ivysaur,Grass,Poison,1643,107,http://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,pokeimg/Ivysaur.png
2,3,Venusaur,Grass,Poison,2598,138,http://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,pokeimg/Venusaur.png
3,4,Charmander,Fire,,962,73,http://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,pokeimg/Charmander.png
4,5,Charmeleon,Fire,,1568,103,http://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,pokeimg/Charmeleon.png
5,6,Charizard,Fire,Flying,2620,135,http://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,pokeimg/Charizard.png
6,7,Squirtle,Water,,1015,81,http://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,pokeimg/Squirtle.png
7,8,Wartortle,Water,,1594,105,http://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,pokeimg/Wartortle.png
8,9,Blastoise,Water,,2560,137,http://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,pokeimg/Blastoise.png
9,10,Caterpie,Bug,,446,83,http://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,pokeimg/Caterpie.png
10,11,Metapod,Bug,,481,91,http://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,pokeimg/Metapod.png
11,12,Butterfree,Bug,Flying,1465,107,http://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,pokeimg/Butterfree.png
12,13,Weedle,Bug,Poison,452,75,http://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,pokeimg/Weedle.png
13,14,Kakuna,Bug,Poison,488,83,http://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,pokeimg/Kakuna.png
14,15,Beedrill,Bug,Poison,1450,115,http://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,pokeimg/Beedrill.png
15,16,Pidgey,Normal,Flying,684,75,http://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,pokeimg/Pidgey.png
16,17,Pidgeotto,Normal,Flying,1232,111,http://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,pokeimg/Pidgeotto.png
17,18,Pidgeot,Normal,Flying,2106,143,http://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,pokeimg/Pidgeot.png
18,19,Rattata,Normal,,585,59,http://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,pokeimg/Rattata.png
19,20,Raticate,Normal,,1454,99,http://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,pokeimg/Raticate.png
20,21,Spearow,Normal,Flying,691,75,http://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,pokeimg/Spearow.png
21,22,Fearow,Normal,Flying,1758,115,http://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,pokeimg/Fearow.png
22,23,Ekans,Poison,,830,67,http://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,pokeimg/Ekans.png
23,24,Arbok,Poison,,1779,107,http://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,pokeimg/Arbok.png
24,25,Pikachu,Electric,,894,67,http://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,pokeimg/Pikachu.png
25,26,Raichu,Electric,,2042,107,http://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,pokeimg/Raichu.png
26,27,Sandshrew,Ground,,804,91,http://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,pokeimg/Sandshrew.png
27,28,Sandslash,Ground,,1823,130,http://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,pokeimg/Sandslash.png
28,29,Nidoran♀,Poison,,882,99,http://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png,pokeimg/Nidoran♀.png
29,30,Nidorina,Poison,,1414,122,http://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,pokeimg/Nidorina.png
30,31,Nidoqueen,Poison,Ground,2502,154,http://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,pokeimg/Nidoqueen.png
31,32,Nidoran♂,Poison,,849,84,http://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png,pokeimg/Nidoran♂.png
32,33,Nidorino,Poison,,1382,108,http://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,pokeimg/Nidorino.png
33,34,Nidoking,Poison,Ground,2492,140,http://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,pokeimg/Nidoking.png
34,35,Clefairy,Fairy,,1209,122,http://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,pokeimg/Clefairy.png
35,36,Clefable,Fairy,,2414,162,http://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,pokeimg/Clefable.png
36,37,Vulpix,Fire,,837,72,http://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,pokeimg/Vulpix.png
37,38,Ninetales,Fire,,2203,127,http://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,pokeimg/Ninetales.png
38,39,Jigglypuff,Normal,Fairy,924,194,http://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,pokeimg/Jigglypuff.png
